Class, Wavelength (microns), Slope, Unc_slope, Intercept, Unc_intercept
1b, 2250.018447913539, 0.6221918704345246, 0.001671354722188914, -13.443217242372544, 0.0012608113464899352
All, 2250.018447913539, 0.49146274098093956, 0.0010001323209462352, -13.285855121601845, 0.0010377430615785624
0, 2000.0163981453682, 0.27102120546647823, 0.0010210709345893896, -12.662356960414996, 0.0013325562989288384
1a, 2000.0163981453682, 0.3771920751426673, 0.0009829318772243882, -12.911556695804068, 0.001128066545711081
1b, 2000.0163981453682, 0.6259416194781486, 0.0016692454297492804, -13.212613014707976, 0.0012592201702987596
All, 2000.0163981453682, 0.4951184758520637, 0.0009998225689331018, -13.055033266341194, 0.0010374216611041382
0, 1500.0122986090262, 0.2830142954751229, 0.001024142348831549, -12.108978218605369, 0.0013365646711744502
1a, 1500.0122986090262, 0.3867785922211341, 0.0009807464332260928, -12.354949804477265, 0.0011255584102857006
1b, 1500.0122986090262, 0.6377823410803274, 0.0016677195347572142, -12.65933901566273, 0.001258069088667788
All, 1500.0122986090262, 0.5064540481410205, 0.0010009869985556602, -12.500845008559251, 0.0010386298799929781
0, 1300.0106718037018, 0.2904989682891925, 0.0010274198692595735, -11.839795137392098, 0.001340842023847297
1a, 1300.0106718037018, 0.3927935571519632, 0.0009804593054523086, -12.083878109547117, 0.0011252288867007448
1b, 1300.0106718037018, 0.6453834434447115, 0.0016696095136683737, -12.390584561836345, 0.001259494822429856
All, 1300.0106718037018, 0.5136605145613213, 0.0010028471713991783, -12.231407607468403, 0.0010405600060585684
0, 1000.0081990726841, 0.3078430876981322, 0.001034392520284003, -11.38271390944502, 0.001349941734482555
1a, 1000.0081990726841, 0.406815336983805, 0.000980122861025452, -11.622383969899872, 0.0011248427646192232
1b, 1000.0081990726841, 0.6616477179448824, 0.0016711693085691268, -11.932972007784297, 0.0012606714769622291
All, 1000.0081990726841, 0.529768147221705, 0.0010050384681691271, -11.772868325455537, 0.001042833708219021
0, 700.005737015892, 0.34140195207443513, 0.0010517156513883638, -10.773408948236266, 0.0013725494169542624
1a, 700.005737015892, 0.43399285611458993, 0.0009864148010643404, -11.005380289214663, 0.0011320637401821814
1b, 700.005737015892, 0.6935938370643158, 0.0016884193351767874, -11.324472509425842, 0.0012736842916480956
All, 700.005737015892, 0.5614257477948382, 0.001015132389468612, -11.162124944978336, 0.0010533072191468052
0, 500.00409953634204, 0.3882533149498737, 0.0010763217100189554, -10.224148453335049, 0.001404661738742359
1a, 500.00409953634204, 0.47220584487006134, 0.0010053384214016043, -10.447375572499912, 0.0011537815250265244
1b, 500.00409953634204, 0.7367011120002377, 0.0017227710446711128, -10.777910521537482, 0.0012995980157228082
All, 500.00409953634204, 0.6056779886632248, 0.0010342217457425884, -10.612593822655008, 0.0010731144452592238
0, 350.002868507946, 0.46166651548244575, 0.0010978311214730112, -9.737713692779884, 0.0014327327578541513
1a, 350.002868507946, 0.5331634240633487, 0.0010389362869171453, -9.949847379783005, 0.0011923402786630489
1b, 350.002868507946, 0.790590075842563, 0.0017217970535478775, -10.284619622764104, 0.0012988632710015037
All, 350.002868507946, 0.669929579663775, 0.0010414163514635365, -10.12060656432443, 0.0010805796096293179
0, 226.001857212083, 0.5954451215659535, 0.0011096762320022399, -9.34113269765969, 0.001448191308394109
1a, 226.001857212083, 0.6483806712317673, 0.0011152105980201947, -9.540968600705266, 0.0012798768624754254
1b, 226.001857212083, 0.8610196263979581, 0.0015959009638179147, -9.850981953275816, 0.001203891679212558
All, 226.001857212083, 0.7765931244042996, 0.001007876030066903, -9.702869052091685, 0.001045777978801568
0, 184.80151060234402, 0.6716629600896162, 0.0011096077298991703, -9.228932287614143, 0.0014481019092095438
1a, 184.80151060234402, 0.717543358558009, 0.001179016663349924, -9.430041026251233, 0.0013531042034333502
1b, 184.80151060234402, 0.8944463381487063, 0.0015152789090074686, -9.715960219447535, 0.0011430732304818078
All, 184.80151060234402, 0.8362874426308438, 0.000991512830654503, -9.580468255041168, 0.0010287994287639303
0, 158.501296063549, 0.7324621355193532, 0.0011045314046849715, -9.165850287167908, 0.0014414770128282634
1a, 158.501296063549, 0.7755796313376333, 0.001246068313841512, -9.374813898555272, 0.0014300563559750518
1b, 158.501296063549, 0.9194910059121472, 0.001468793824216689, -9.637604874680392, 0.0011080065139023353
All, 158.501296063549, 0.8848318343857279, 0.000990253826028626, -9.513222498957369, 0.0010274930783064594
0, 135.901112091636, 0.7931252197645737, 0.0011037735517795803, -9.130811319434786, 0.0014404879711970406
1a, 135.901112091636, 0.8370139746955099, 0.0013322349861934516, -9.354963043108473, 0.0015289459562492337
1b, 135.901112091636, 0.9445252911531278, 0.0014543087754035275, -9.591086221037186, 0.0010970795014281812
All, 135.901112091636, 0.9349194797011395, 0.0010051172114628438, -9.47851468962752, 0.001042915412714505
0, 116.600954658356, 0.8504433767887276, 0.0011157490485236082, -9.112045316941014, 0.0014561166832467803
1a, 116.600954658356, 0.8991989755085698, 0.0014400339508295922, -9.359678480884654, 0.0016526619618911606
1b, 116.600954658356, 0.9691796900785816, 0.0014881160467036974, -9.567853783866116, 0.001122582520436195
All, 116.600954658356, 0.9848135742653985, 0.0010426298946458544, -9.466656432821301, 0.0010818387890308844
0, 100.000819907268, 0.9042731519115297, 0.0011714965023072235, -9.112455274053454, 0.0015288703168799562
1a, 100.000819907268, 0.9613641020405742, 0.0015727828741875195, -9.390375235662626, 0.001805011908910995
1b, 100.000819907268, 0.9942958557625009, 0.0015759303155405292, -9.570314289253712, 0.001188826523018838
All, 100.000819907268, 1.0342953799471366, 0.0011045264747442892, -9.47971143075216, 0.001146063037350168
0, 85.770702480011, 0.9345079899740363, 0.0014301537931909931, -9.104098790639782, 0.001866432958764031
1a, 85.770702480011, 0.9846046011547109, 0.001821378217171103, -9.412893273364233, 0.002090313562400186
1b, 85.770702480011, 0.9884982429201384, 0.0017589045952043564, -9.571373349258653, 0.0013268558981438514
All, 85.770702480011, 1.0533907657816264, 0.0012364665712820489, -9.489589938954978, 0.001282964842099888
0, 73.570602450168, 0.9911767290167404, 0.0016001878411409365, -9.123576533733686, 0.002088337171245783
1a, 73.570602450168, 1.051371960713202, 0.0020001715999789643, -9.460326731567504, 0.0022955066570728294
1b, 73.570602450168, 1.02294718603961, 0.0019506997212101495, -9.593142089748813, 0.0014715394101830377
All, 73.570602450168, 1.1079868467787866, 0.0013333224516442516, -9.520574071934659, 0.0013834630618993085
0, 63.100517506719, 1.0511701147517927, 0.0018576081222297458, -9.171575382598771, 0.0024242854441979154
1a, 63.100517506719, 1.1217631577987668, 0.002211209362004372, -9.534070888598055, 0.0025377051702544836
1b, 63.100517506719, 1.0593787924650864, 0.002205178690171485, -9.637139542851546, 0.0016635094134683404
All, 63.100517506719, 1.164379916295943, 0.0014498670710205554, -9.5754878808454, 0.0015043904307975038
0, 54.12044358217, 1.1158513973729776, 0.0021848659487866424, -9.25284324196684, 0.00285137573085613
1a, 54.12044358217, 1.194926228970675, 0.0024590526663356015, -9.635521416375141, 0.002822143742929572
1b, 54.12044358217, 1.0972108683458524, 0.002536839906023915, -9.704667880824346, 0.001913702995109549
All, 54.12044358217, 1.2220855937320767, 0.00159005397606485, -9.656090712258965, 0.001649849171593173
0, 46.420380378909, 1.1900648057204208, 0.0025303952144243207, -9.362548995105701, 0.003302311296439439
1a, 46.420380378909, 1.2696873756035152, 0.0027623243391911526, -9.747444719949064, 0.0031701949521102503
1b, 46.420380378909, 1.1353455043540064, 0.0029869180490107116, -9.77865475508699, 0.0022532261507576122
All, 46.420380378909, 1.2805589309304644, 0.0017611338608110314, -9.746723998282079, 0.0018273626462132517
0, 42.990352509969, 1.2231908066187827, 0.002749287199902738, -9.443410053026579, 0.003587977927574721
1a, 42.990352509969, 1.3049244918218197, 0.0029394959377101646, -9.834643935543768, 0.0033735267981623114
1b, 42.990352509969, 1.1530563859077425, 0.00325728922359989, -9.846382944858602, 0.0024571846762341193
All, 42.990352509969, 1.3076109603537427, 0.0018698417875745977, -9.822304784151614, 0.001940158617681057
0, 39.810326245729996, 1.2127686123751, 0.0034195693598328475, -9.52917201363098, 0.0044627346991340635
1a, 39.810326245729996, 1.2710811219361455, 0.0034680445225634105, -9.921515528615563, 0.003980118150189212
1b, 39.810326245729996, 1.1315364860052806, 0.003728166465325182, -9.934897562602842, 0.0028123979420294257
All, 39.810326245729996, 1.2842284760644598, 0.0021390934428942676, -9.91104851154127, 0.0022195356873693697
0, 36.870302361795, 1.2408316595192161, 0.0036481577170822286, -9.624961495924769, 0.004761055653140017
1a, 36.870302361795, 1.30522371797995, 0.003679059679088261, -10.029216163711101, 0.004222290720058294
1b, 36.870302361795, 1.1500540787871567, 0.004069448264670079, -10.024582418032168, 0.0030698489542244967
All, 36.870302361795, 1.3101842711269762, 0.0022765692923324855, -10.007103468064482, 0.002362181421240017
0, 34.150280071806, 1.2685295706949942, 0.0038853882932663817, -9.721265911930974, 0.005070655199933342
1a, 34.150280071806, 1.336337509308236, 0.003935946373505289, -10.131214193831706, 0.004517107983314069
1b, 34.150280071806, 1.1653720801412184, 0.0044797658983238425, -10.1082300590297, 0.0033793781770205004
All, 34.150280071806, 1.3331501298534891, 0.0024394733135849624, -10.097960742136761, 0.0025312115727684293
0, 29.290239773707, 1.3319201516941959, 0.004347732937718884, -9.919410728916613, 0.005674041553780494
1a, 29.290239773707, 1.3924240249625748, 0.004636255694667722, -10.307869334308453, 0.005320821379082425
1b, 29.290239773707, 1.188923839619595, 0.0055520205329962664, -10.246807311800618, 0.004188249442810723
All, 29.290239773707, 1.3732766775501222, 0.002861410673377468, -10.255272084316424, 0.002969016209590069
0, 25.120206564013, 1.414583425508079, 0.004781017202133146, -10.154009790217081, 0.006239502440201826
1a, 25.120206564013, 1.4415962883568998, 0.005581706140769174, -10.457028012422752, 0.006405872178214451
1b, 25.120206564013, 1.2053418546931118, 0.006884740854345976, -10.35484212316764, 0.00519360688162825
All, 25.120206564013, 1.4067938961536808, 0.003399341281613279, -10.390262151944988, 0.0035271761096513908
0, 21.550176549842, 1.5046395984764254, 0.005304660874700941, -10.446276721228223, 0.006922887551496811
1a, 21.550176549842, 1.4704968039831985, 0.00658064982375076, -10.594812131270917, 0.007552314750616338
1b, 21.550176549842, 1.206644678980976, 0.008135495141191986, -10.45106943032741, 0.006137132020601192
All, 21.550176549842, 1.4217457248291292, 0.0039444953811608955, -10.52071025978494, 0.004092831145938394
0, 19.950163132289, 1.561159614983032, 0.005643207407913848, -10.630769522699056, 0.00736471024963756
1a, 19.950163132289, 1.4757944291322778, 0.007020643548064066, -10.650617097032637, 0.008057275686589075
1b, 19.950163132289, 1.2004847462509403, 0.008634466691305657, -10.484618651290747, 0.006513538646679386
All, 19.950163132289, 1.4208005850290857, 0.004181075778115532, -10.577341435618862, 0.0043383083296103485
0, 18.480151060234, 1.6051253390940408, 0.006087179620593363, -10.810267012907918, 0.00794411952328746
1a, 18.480151060234, 1.4710582987023906, 0.007423096338028544, -10.703959462489056, 0.00851915258681639
1b, 18.480151060234, 1.1881948118295533, 0.009075805494193494, -10.51970784139304, 0.006846469150862552
All, 18.480151060234, 1.4109875998061183, 0.0044086171184254345, -10.633306604893317, 0.0045744065360011615
0, 17.11013985066, 1.5695277240451522, 0.006355042837423139, -10.862093101427917, 0.008293696428031494
1a, 17.11013985066, 1.4397662201291954, 0.007784357794267711, -10.758253589470987, 0.008933756052713791
1b, 17.11013985066, 1.1605624122972358, 0.009411201844437537, -10.575149206896953, 0.007099480386804842
All, 17.11013985066, 1.3793390848774962, 0.004590523389245291, -10.68737761325243, 0.004763153531221093
0, 15.850129606354, 1.5022425896227876, 0.00661787760745024, -10.85970417773756, 0.008636710920475127
1a, 15.850129606354, 1.3955252507443592, 0.008098948486230587, -10.80241665540088, 0.009294797589180726
1b, 15.850129606354, 1.12554475200977, 0.009674443898758116, -10.629128604009255, 0.007298060954146065
All, 15.850129606354, 1.3370010368884935, 0.004741942424370154, -10.731435451026748, 0.004920266794937118
0, 14.680120452488, 1.4739853510887906, 0.0069191020322964284, -10.918493975352991, 0.00902982612052871
1a, 14.680120452488, 1.356712220623376, 0.008326869900153265, -10.821472378811901, 0.009556372707512802
1b, 14.680120452488, 1.0961789691847985, 0.009842664306091918, -10.651979124892312, 0.007424960525770121
All, 14.680120452488, 1.2993934002565797, 0.004852174708869666, -10.75588906855916, 0.005034644448779056
0, 13.590111209163, 1.4942793079793468, 0.007278623183048695, -11.058472232169109, 0.009499021900962646
1a, 13.590111209163, 1.3249745676101876, 0.00839317285642974, -10.814801200542725, 0.009632465617500056
1b, 13.590111209163, 1.0748051849705802, 0.009821200187441185, -10.641259292180827, 0.007408768747939855
All, 13.590111209163, 1.2679134572078563, 0.004887589339900416, -10.761098841197802, 0.005071390874087815
0, 12.590103417408, 1.521612249904569, 0.007836787124819037, -11.222664622213102, 0.010227457949081203
1a, 12.590103417408, 1.2964427110245371, 0.008353825785137776, -10.800380150215345, 0.00958730875991445
1b, 12.590103417408, 1.0574826385751395, 0.009678355136852385, -10.618820000388963, 0.007301011454900099
All, 12.590103417408, 1.2359586324440093, 0.004896051909348457, -10.758559975037882, 0.005080171684930446
0, 11.660095465835001, 1.5579717417832448, 0.008811884683836011, -11.432717312901932, 0.011500016348621517
1a, 11.660095465835001, 1.2787548242022333, 0.008309026839340579, -10.793490621813605, 0.009535895032058104
1b, 11.660095465835001, 1.047705927832593, 0.009531745811974175, -10.593290533880868, 0.007190414525443025
All, 11.660095465835001, 1.2058516174942402, 0.0049625758168873515, -10.759550665116404, 0.005149197274876652
0, 11.220092135066999, 1.5348710506902075, 0.0089552896782513, -11.440434385471434, 0.011687168114608074
1a, 11.220092135066999, 1.2599375824953785, 0.0082954648776207, -10.786860069460461, 0.009520330580782384
1b, 11.220092135066999, 1.0359115124373022, 0.009463319089108423, -10.589130117626636, 0.007138795807138108
All, 11.220092135066999, 1.1854677198806183, 0.0049579065205067946, -10.754445997783112, 0.005144352386035551
0, 10.800088679676001, 1.5080607738661138, 0.008975121787261831, -11.42099184065654, 0.011713050157557081
1a, 10.800088679676001, 1.2362517409384919, 0.008246707542541464, -10.774279108784981, 0.009464373988229679
1b, 10.800088679676001, 1.0200496111815078, 0.00937399515769219, -10.584889181240138, 0.007071412968086934
All, 10.800088679676001, 1.1651059054516253, 0.004923543292544613, -10.745725079073935, 0.00510869690261166
0, 10.390085363387, 1.4891098930610505, 0.009070719233847856, -11.426154126984832, 0.011837810323863204
1a, 10.390085363387, 1.2175542621754218, 0.008133392261153798, -10.759922448166947, 0.00933432715485988
1b, 10.390085363387, 1.0069164543742537, 0.009205858158319319, -10.572555818694074, 0.0069445763165014145
All, 10.390085363387, 1.1452777640226675, 0.00487113910420443, -10.733515203856523, 0.0050543220147005975
0, 10.000081990725999, 1.4721798336320617, 0.009236421760108617, -11.43666704407454, 0.012054061651402943
1a, 10.000081990725999, 1.202711935256208, 0.00808661597047793, -10.750343107293133, 0.009280644117544102
1b, 10.000081990725999, 0.9955960847789462, 0.009123611299977087, -10.56288090192058, 0.006882532173008508
All, 10.000081990725999, 1.1276809845125542, 0.004860911927409205, -10.724775191205323, 0.005043710237102269
0, 9.810080441738, 1.4793433497796964, 0.01261335402699867, -11.62329515982685, 0.016501157752242333
1a, 9.810080441738, 1.1756765829114224, 0.011196556651719694, -10.88863656670715, 0.012850442298605429
1b, 9.810080441738, 0.9186358466572246, 0.011941668734363746, -10.649839694353, 0.009008459280804404
All, 9.810080441738, 1.079554856185417, 0.00649750210459973, -10.836082685544417, 0.006744228122079249
0, 9.6230790352, 1.4211360809857059, 0.011870768700549698, -11.468379341373726, 0.015507604647360156
1a, 9.6230790352, 1.1492758249847645, 0.011110648617143564, -10.870693447338361, 0.012751189880567403
1b, 9.6230790352, 0.9018993751735892, 0.01181281305206073, -10.65555921652014, 0.00891117159767065
All, 9.6230790352, 1.0703227775959236, 0.006361003211422667, -10.82287241795673, 0.00660102358108508
0, 9.261075991109, 1.2952317492300913, 0.01085607013334048, -11.226091020288433, 0.01417209983684223
1a, 9.261075991109, 1.1000270176865232, 0.010588051715609517, -10.824493689230437, 0.012151429006825544
1b, 9.261075991109, 0.871148521394986, 0.011205664510151078, -10.64083501068817, 0.008453160045435969
All, 9.261075991109, 1.031948408000948, 0.005988745235628819, -10.77540798954194, 0.00621418097114117
0, 8.912073023522, 1.2032439868708273, 0.0103726645338604, -11.069985784248404, 0.013537387049733667
1a, 8.912073023522, 1.0620808042391872, 0.010235883794794265, -10.793916180916703, 0.011747261781049808
1b, 8.912073023522, 0.8428091687335584, 0.010793841151007476, -10.62704679401891, 0.008142494956173627
All, 8.912073023522, 0.9973495892155197, 0.0057584456427955955, -10.740966316633317, 0.005975008940124027
0, 8.577070248001, 1.168984331208015, 0.010223535678378842, -11.026647866832372, 0.013346149443663167
1a, 8.577070248001, 1.0390773923198922, 0.009991187637383622, -10.767493085157282, 0.011466435046832516
1b, 8.577070248001, 0.8238544618723802, 0.010498912180049422, -10.604190589866871, 0.007920010890968417
All, 8.577070248001, 0.973869959302172, 0.005618771685768238, -10.713883688401657, 0.005830255547385616
0, 7.943065230208999, 1.1029793418788258, 0.009719071438226375, -10.937547772620656, 0.012687740274342347
1a, 7.943065230208999, 0.9904071616706935, 0.009448934207758605, -10.71181649061446, 0.010844115263101013
1b, 7.943065230208999, 0.7787724658965935, 0.009878161453911983, -10.552380872372437, 0.007451738328318794
All, 7.943065230208999, 0.9249590337619568, 0.005304820752863552, -10.656323556932612, 0.005504504144283883
0, 7.356060336523, 1.0471069999188187, 0.009434519459893202, -10.8606725840369, 0.01231767474893455
1a, 7.356060336523, 0.944493420813782, 0.009071687923801721, -10.658711559772414, 0.010411166731990922
1b, 7.356060336523, 0.7348112783628946, 0.009439662263967143, -10.500532483596357, 0.007120949928484059
All, 7.356060336523, 0.8791014256166668, 0.005089748734058059, -10.601106424627906, 0.005281424781044955
0, 6.8130558615089996, 0.9850760640086675, 0.009176834551485574, -10.77133906611017, 0.011984283688268474
1a, 6.8130558615089996, 0.9001488056571887, 0.008798312437280697, -10.602738578166399, 0.010097426026345401
1b, 6.8130558615089996, 0.6919275591346183, 0.00912972907765026, -10.444939926234689, 0.006887147209782712
All, 6.8130558615089996, 0.8327239099835636, 0.004931731004783882, -10.540812157584085, 0.005117531846222953
0, 6.3100517506710005, 0.9237492137554697, 0.008945930469080881, -10.676698000107844, 0.011688774578030291
1a, 6.3100517506710005, 0.8598967184302162, 0.008612606414594711, -10.544138452900961, 0.009884299606922844
1b, 6.3100517506710005, 0.6537543115408843, 0.008899384808130538, -10.385059221749298, 0.006713383576752705
All, 6.3100517506710005, 0.7892572751845142, 0.004815452642730232, -10.476292031912033, 0.0049972162445050105
0, 5.843047963294, 0.9647738741345346, 0.008920576363404946, -10.74275962159117, 0.011648401938183704
1a, 5.843047963294, 0.8394820857156842, 0.008468662729455059, -10.488252293651868, 0.009719101937140344
1b, 5.843047963294, 0.6302518172414795, 0.008755581952669535, -10.31805099075607, 0.006604903749331373
All, 5.843047963294, 0.7716020650052622, 0.0047557834019075484, -10.428280450098015, 0.004934902950997755
0, 5.412044358217, 0.9411037568841696, 0.008866411630995776, -10.683773177270403, 0.011573025997237222
1a, 5.412044358217, 0.8026615182961512, 0.008328640043971517, -10.41899667968775, 0.009558404221668298
1b, 5.412044358217, 0.6006782163336328, 0.008598879204035289, -10.252607245590513, 0.006486692695219852
All, 5.412044358217, 0.7407030558164325, 0.00468150311727403, -10.363252859481891, 0.004857626132716436
0, 5.012041121505001, 0.9320085917488445, 0.00884018704477793, -10.663549641487414, 0.01154653785217877
1a, 5.012041121505001, 0.7817101918758316, 0.008233551055038264, -10.35732371701729, 0.00944927488140924
1b, 5.012041121505001, 0.5809857249681682, 0.008500029228461436, -10.184376907922008, 0.006412123742771182
All, 5.012041121505001, 0.7162635143638306, 0.004640167030669869, -10.300510525342482, 0.004815148060055564
0, 4.64203803789, 0.9709658159541128, 0.008924763142299974, -10.714913866881723, 0.011654099292974365
1a, 4.64203803789, 0.7722535732206721, 0.008195032475365585, -10.303584046153624, 0.009405068846256777
1b, 4.64203803789, 0.5684848293292886, 0.008468356936621539, -10.118782837106185, 0.006388231277341231
All, 4.64203803789, 0.7071444235819024, 0.004646714553661342, -10.251949840041513, 0.004821877297304613
0, 4.299035250996, 0.9527563744083749, 0.00899045499883648, -10.675847569255685, 0.011753555300560528
1a, 4.299035250996, 0.7624389239175233, 0.008181450100812867, -10.247331024347265, 0.00938948096809425
1b, 4.299035250996, 0.5592760264424359, 0.008450493367911736, -10.05467701027926, 0.006374755628025672
All, 4.299035250996, 0.6882361421048674, 0.004650153578212944, -10.189028668045284, 0.0048261051909958535
0, 3.981032624573, 0.9514867955163377, 0.009125882452877158, -10.664953945198928, 0.011939385482408676
1a, 3.981032624573, 0.7557315057269909, 0.008179417947503544, -10.194750315789186, 0.009387148757473025
1b, 3.981032624573, 0.5524045776283711, 0.008447268935892129, -9.992601313845405, 0.0063723232296710106
All, 3.981032624573, 0.6739470964817084, 0.004669883205977901, -10.13221226438484, 0.0048469708235059335
0, 3.831031393779, 1.0139358311687452, 0.009433027033411756, -10.749561605802517, 0.012324631931728048
1a, 3.831031393779, 0.7536864882717738, 0.008179594994266381, -10.170363109654046, 0.0093873519460508
1b, 3.831031393779, 0.5499864599065443, 0.008444867682013925, -9.962588126922627, 0.006370511808016919
All, 3.831031393779, 0.6809414397697298, 0.004714753046803782, -10.120083911338927, 0.00489274222823393
0, 3.6870302361790004, 0.9803459580394038, 0.009454176092065614, -10.703328565823282, 0.012367050649079874
1a, 3.6870302361790004, 0.7530996394475314, 0.008179451215748581, -10.14761073619167, 0.009387186937936118
1b, 3.6870302361790004, 0.5477815616120171, 0.008448652536921314, -9.933013199474, 0.0063733669697301695
All, 3.6870302361790004, 0.66695764503936, 0.00471576317735102, -10.085507216532015, 0.004894389351338169
0, 3.548029107825, 0.9680815954569337, 0.009564059197361977, -10.700955366764546, 0.012525367006698297
1a, 3.548029107825, 0.7524416445187033, 0.00815401795600312, -10.127730698305554, 0.009357998333789662
1b, 3.548029107825, 0.5446213652546625, 0.008426007023881299, -9.903318654951548, 0.006356283989433477
All, 3.548029107825, 0.6551259366601846, 0.004721683048972086, -10.057773938757817, 0.004901357472646306
0, 3.4140279835030003, 1.0426335839522207, 0.009889814933879785, -10.821397639971083, 0.012932768026606095
1a, 3.4140279835030003, 0.751560554142507, 0.008132989464640566, -10.109432298212248, 0.009333864883483972
1b, 3.4140279835030003, 0.5416382790690812, 0.00840595768399714, -9.874197622654517, 0.006341159471053277
All, 3.4140279835030003, 0.6622061059034232, 0.00477571622282738, -10.05229589773484, 0.004956617997916979
0, 3.286026924921, 1.0813573547411859, 0.010535853372005171, -10.937147990929688, 0.013784761497905832
