Class, Wavelength (microns), Reduced chi-squared (linear space), Reduced chi-squared (log10 space), Correlation coefficient (linear space), Correlation coefficient (log10 space)
All, 19.950163132289, nan, -4517.6198877218685, 0.969868022451616, 0.7706441052198929
0, 18.480151060234, nan, -356.730614400779, 0.9425941842251891, 0.9133824520347756
1a, 18.480151060234, nan, -2026.6156491728384, 0.9734351285027596, 0.7390374931585675
1b, 18.480151060234, nan, -2530.110474858521, 0.929924932145383, 0.587525019686883
All, 18.480151060234, nan, -4996.456893994493, 0.9732016973542286, 0.7514610431510045
0, 17.11013985066, nan, -385.8312664022749, 0.9346162446383631, 0.9029708323429352
1a, 17.11013985066, nan, -2214.36197659412, 0.975719088788337, 0.7153988414553875
1b, 17.11013985066, nan, -2703.7855295135955, 0.9257370744909499, 0.5645054281470617
All, 17.11013985066, nan, -5386.223480464075, 0.9755267075789967, 0.7303760308026674
0, 15.850129606354, nan, -416.87086171107757, 0.9275183353522585, 0.8880321528359137
1a, 15.850129606354, nan, -2382.056177838078, 0.9769107085228124, 0.6902183213726514
1b, 15.850129606354, nan, -2838.2507061738092, 0.9205577291086094, 0.5421561809019604
All, 15.850129606354, nan, -5717.189442332423, 0.9766805980423746, 0.7082973105579702
0, 14.680120452488, nan, -454.04353854467263, 0.9175809428728088, 0.8755877573452173
1a, 14.680120452488, nan, -2512.48226333528, 0.9789397670678602, 0.6697657564690658
1b, 14.680120452488, nan, -2929.528366793882, 0.914718110411953, 0.5254869370721337
All, 14.680120452488, nan, -5969.904160785166, 0.9786183387168793, 0.6898897173603887
0, 13.590111209163, nan, -499.13582139260967, 0.903667284717031, 0.8678492377359768
1a, 13.590111209163, nan, -2557.519455140776, 0.982261820930444, 0.6580334631387645
1b, 13.590111209163, nan, -2920.91041005374, 0.9082729734095045, 0.5188376507596133
All, 13.590111209163, nan, -6056.177891146905, 0.9818267219683833, 0.6783182083112668
0, 12.590103417408, nan, -575.2131841851337, 0.8879054950779759, 0.8554822156004004
1a, 12.590103417408, nan, -2541.131287025555, 0.9854401364614455, 0.6516487817366491
1b, 12.590103417408, nan, -2844.667678772773, 0.9009077885754514, 0.518232270726501
All, 12.590103417408, nan, -6080.447283137228, 0.9848848508167003, 0.6682867593234936
0, 11.660095465835001, nan, -724.0159239547388, 0.8700235162809015, 0.8327892597458532
1a, 11.660095465835001, nan, -2520.876788491207, 0.9882124601880792, 0.6485107611815022
1b, 11.660095465835001, nan, -2768.9651325239593, 0.8923187151553378, 0.5204987175228952
All, 11.660095465835001, nan, -6250.4884370311565, 0.9875371663183276, 0.6540887182980563
0, 11.220092135066999, nan, -748.9952076766212, 0.8655020903965104, 0.8247236576286252
1a, 11.220092135066999, nan, -2512.9289853805776, 0.9888988310995056, 0.6435455993386503
1b, 11.220092135066999, nan, -2729.2965315140855, 0.8878517756421533, 0.5189371713220876
All, 11.220092135066999, nan, -6240.381033345303, 0.9881709807319002, 0.6480471786734944
0, 10.800088679676001, nan, -752.1645863459079, 0.8627434213475226, 0.8194381217301956
1a, 10.800088679676001, nan, -2483.617048258349, 0.9891987742615909, 0.6386053221626069
1b, 10.800088679676001, nan, -2676.882933235529, 0.8835364008524408, 0.5166835595221476
All, 10.800088679676001, nan, -6153.689532112835, 0.9884244008592492, 0.6441439384598935
0, 10.390085363387, nan, -768.825740566421, 0.8582225648153489, 0.8131079856893212
1a, 10.390085363387, nan, -2417.5625373952353, 0.9895427337049074, 0.6380743158026377
1b, 10.390085363387, nan, -2583.8279973652366, 0.8791766126643599, 0.5186315897583769
All, 10.390085363387, nan, -6027.576889166034, 0.9887242735119406, 0.6417058587902789
0, 10.000081990725999, nan, -797.7731825486662, 0.8536458606170738, 0.8048519510216852
1a, 10.000081990725999, nan, -2390.823681429783, 0.9898577969985773, 0.6356146559622442
1b, 10.000081990725999, nan, -2539.2571821891543, 0.8752127126100302, 0.517747675693776
All, 10.000081990725999, nan, -6005.474844400069, 0.9889989349576405, 0.6366468888278874
0, 9.810080441738, nan, -1388.9972525510148, 0.8165891385081072, 0.7075893688114321
1a, 9.810080441738, nan, -4518.527794544608, 0.8748416638968499, 0.502565625660153
1b, 9.810080441738, nan, -4307.752784802488, 0.8594060380075758, 0.39242428975235644
All, 9.810080441738, nan, -10527.345581329118, 0.8746669610417032, 0.5092062360176517
0, 9.6230790352, nan, -1278.4507309427058, 0.824650208313362, 0.7141323968756945
1a, 9.6230790352, nan, -4443.947896863532, 0.8778264531783238, 0.49691513797320175
1b, 9.6230790352, nan, -4205.260525266438, 0.860788655829536, 0.38990655417592524
All, 9.6230790352, nan, -10136.086444567185, 0.8776814693231568, 0.5138352578168595
0, 9.261075991109, nan, -1106.203030877718, 0.8324406564105123, 0.7125683663356365
1a, 9.261075991109, nan, -4035.468031320857, 0.8802313579838306, 0.49855532084694654
1b, 9.261075991109, nan, -3779.599593184536, 0.8616380596403656, 0.3959118821275755
All, 9.261075991109, nan, -9031.355549981052, 0.8801008561336925, 0.5227843875924344
0, 8.912073023522, nan, -1025.4921515959095, 0.8366575306886976, 0.7024930537782349
1a, 8.912073023522, nan, -3768.744180303972, 0.8814328107587708, 0.49807656523897365
1b, 8.912073023522, nan, -3503.7601785929173, 0.861888897331426, 0.3973731078975637
All, 8.912073023522, nan, -8367.742770787485, 0.8813004949702548, 0.5247007570688951
0, 8.577070248001, nan, -991.0896032252406, 0.8363527746988777, 0.697492906659279
1a, 8.577070248001, nan, -3593.7571226565497, 0.8810740357519603, 0.4989379319942996
1b, 8.577070248001, nan, -3318.6374309903817, 0.8613244725251548, 0.3990341378161421
All, 8.577070248001, nan, -7968.059508908298, 0.8809362655078518, 0.5250052017285195
0, 7.943065230208999, nan, -897.8157020548526, 0.8355064394878031, 0.6947956500810074
1a, 7.943065230208999, nan, -3218.8812790244892, 0.8798454391304367, 0.5018746556676461
1b, 7.943065230208999, nan, -2945.0542396799547, 0.8603750444253264, 0.40060290607123866
All, 7.943065230208999, nan, -7118.442076737935, 0.8797010351208806, 0.5272762653945171
0, 7.356060336523, nan, -843.8313843352796, 0.8348008921650563, 0.68680590825248
1a, 7.356060336523, nan, -2970.4166910058284, 0.879272427550059, 0.49935220722080065
1b, 7.356060336523, nan, -2695.6545102098466, 0.8598851706707306, 0.39634618543027467
All, 7.356060336523, nan, -6562.153547953274, 0.8791222842957779, 0.5236868963802148
0, 6.8130558615089996, nan, -792.1503371195481, 0.8350384241856303, 0.6748153754476482
1a, 6.8130558615089996, nan, -2798.006499586689, 0.87885114901289, 0.49281101408747513
1b, 6.8130558615089996, nan, -2528.3065255047645, 0.8597372807550284, 0.38747374411323965
All, 6.8130558615089996, nan, -6164.917742208344, 0.8787013593888306, 0.5151287927492848
0, 6.3100517506710005, nan, -748.6025002375663, 0.836359342789174, 0.6607315298944392
1a, 6.3100517506710005, nan, -2686.20819185848, 0.8787084546166952, 0.4837323085510004
1b, 6.3100517506710005, nan, -2410.5175405926175, 0.8600394070288654, 0.37728977800691244
All, 6.3100517506710005, nan, -5886.107092766875, 0.8785551354162147, 0.5039540519376886
0, 5.843047963294, nan, -748.2394056653503, 0.8315541575083014, 0.6775002585405385
1a, 5.843047963294, nan, -2608.5890853584406, 0.8777366301818363, 0.4810773699080837
1b, 5.843047963294, nan, -2346.703488361033, 0.8594439635755553, 0.370752553753491
All, 5.843047963294, nan, -5769.33450348347, 0.8775824314864731, 0.5000815000773907
0, 5.412044358217, nan, -747.4146965363257, 0.8338770075926981, 0.6703500669136954
1a, 5.412044358217, nan, -2531.6100486593864, 0.8780555632820318, 0.47070447017232436
1b, 5.412044358217, nan, -2273.4851254133723, 0.8600995167665226, 0.3612437662210763
All, 5.412044358217, nan, -5619.410363245563, 0.877910390081454, 0.49064416260098653
0, 5.012041121505001, nan, -732.0328076046238, 0.8310061300271171, 0.668218011288237
1a, 5.012041121505001, nan, -2485.4455112123, 0.8778028660130517, 0.46523457641276167
1b, 5.012041121505001, nan, -2234.6658402270878, 0.8598089119105677, 0.3544509225341085
All, 5.012041121505001, nan, -5531.415981101333, 0.8776503109619198, 0.48154478327610917
0, 4.64203803789, nan, -750.7853463112226, 0.8274041180679578, 0.6795778436150076
1a, 4.64203803789, nan, -2474.4421075042087, 0.8771557343537726, 0.4625107456476154
1b, 4.64203803789, nan, -2232.0120724169765, 0.8593531014822229, 0.3488980804017717
All, 4.64203803789, nan, -5576.187167541705, 0.8770017265259259, 0.4762604269550644
0, 4.299035250996, nan, -743.494148140742, 0.8255798502569378, 0.6705948210915085
1a, 4.299035250996, nan, -2478.8503143699445, 0.8766058875201508, 0.45847168038762776
1b, 4.299035250996, nan, -2236.51870847953, 0.8590261535510464, 0.3445604497907475
All, 4.299035250996, nan, -5589.248961196779, 0.8764469131246125, 0.46617023100448096
0, 3.981032624573, nan, -752.4201772274683, 0.822938824130802, 0.6650145575387207
1a, 3.981032624573, nan, -2490.0761329344873, 0.8758519708970683, 0.45536697079775074
1b, 3.981032624573, nan, -2248.8086573720548, 0.8583867159995482, 0.3409364895758472
All, 3.981032624573, nan, -5646.768666818699, 0.8756834712589026, 0.4570873278401475
0, 3.831031393779, nan, -821.6267748369337, 0.8209788461523394, 0.6755082218601232
1a, 3.831031393779, nan, -2496.2537271550073, 0.8751684471240218, 0.45438162987953745
1b, 3.831031393779, nan, -2254.56394268487, 0.8578822160935919, 0.339701956955154
All, 3.831031393779, nan, -5785.432118999084, 0.8749985833352537, 0.4572346085274164
0, 3.6870302361790004, nan, -801.8488855771815, 0.8193057154424608, 0.662986734168813
1a, 3.6870302361790004, nan, -2501.9740197592864, 0.8742001397143376, 0.4541071458427865
1b, 3.6870302361790004, nan, -2263.507337572204, 0.8574014097361489, 0.3383621345028861
All, 3.6870302361790004, nan, -5776.353468931079, 0.874030184808555, 0.4498105512163449
0, 3.548029107825, nan, -804.3886773178473, 0.8152331354226853, 0.6545422949897983
1a, 3.548029107825, nan, -2491.607106828326, 0.8730005162738672, 0.4549149861890147
1b, 3.548029107825, nan, -2258.4536809055353, 0.8565801632244793, 0.3374337036874465
All, 3.548029107825, nan, -5786.2561296692, 0.8728212273356333, 0.4430570145436633
0, 3.4140279835030003, nan, -884.506240431174, 0.8111592676015686, 0.6687966537572163
1a, 3.4140279835030003, nan, -2483.088573298796, 0.8711769536360108, 0.4554240196164232
1b, 3.4140279835030003, nan, -2254.6861009220843, 0.8554229854518407, 0.3365046900837785
All, 3.4140279835030003, nan, -5950.654722204032, 0.8709902827271259, 0.4426862487114386
0, 3.286026924921, nan, -982.8465974571867, 0.8036624931906082, 0.6591544405284651
1a, 3.286026924921, nan, -2498.393957130881, 0.8686083033225963, 0.4613686200689213
1b, 3.286026924921, nan, -2268.451962172525, 0.8535792630679953, 0.33805518053130135
All, 3.286026924921, nan, -6200.171095581243, 0.8683939816366435, 0.4341759762635847
0, 3.162025914772, nan, -1607.2654932959538, 0.7800291902321509, 0.6170423058869177
1a, 3.162025914772, nan, -2880.446611217094, 0.8599772439219662, 0.47894705453743824
1b, 3.162025914772, nan, -2632.207467962393, 0.8486475413753454, 0.34306665255851954
All, 3.162025914772, nan, -8130.768806572364, 0.8596817568947833, 0.40813700859836904
0, 3.043024948458, nan, -2096.210137964978, 0.7510672785992053, 0.6091561137348132
1a, 3.043024948458, nan, -3353.643102207582, 0.8444945921606478, 0.488980915758191
1b, 3.043024948458, nan, -3064.846714694918, 0.838870522683811, 0.34741754620784454
All, 3.043024948458, nan, -10463.941763333618, 0.844036982093452, 0.3782166499689402
0, 2.818023111754, nan, -1276.3116331413344, 0.7920584336641554, 0.6331492750360879
1a, 2.818023111754, nan, -2598.7767826907534, 0.8629072403637915, 0.46181323412306724
1b, 2.818023111754, nan, -2361.901830816493, 0.8502369864966899, 0.3398313144389574
All, 2.818023111754, nan, -6975.697935256386, 0.8626501831965026, 0.4127537643241451
0, 2.712022122985, nan, -1058.7022863820882, 0.796605508648777, 0.6260569149901307
1a, 2.712022122985, nan, -2470.670248663272, 0.86390087625803, 0.45292866486527805
1b, 2.712022122985, nan, -2255.9780014728913, 0.847727477718634, 0.3386233180837852
All, 2.712022122985, nan, -6341.307658075142, 0.8636517693452834, 0.4090762018223959
0, 2.512020656401, nan, -1130.6502810701304, 0.7882458731294975, 0.6160009631796984
1a, 2.512020656401, nan, -2413.2383454481583, 0.8590556908268601, 0.4560125650691331
1b, 2.512020656401, nan, -2200.9881661566797, 0.841475827550112, 0.3435115058891245
All, 2.512020656401, nan, -6454.065576860916, 0.8587450483031227, 0.39737572207856925
0, 2.15401770693, nan, -1395.3697459585403, 0.7681886729142168, 0.6127000397101394
1a, 2.15401770693, nan, -2409.802591728778, 0.8479158356983731, 0.45973712279577084
1b, 2.15401770693, nan, -2197.44783935278, 0.8258458421667498, 0.35574948135670453
All, 2.15401770693, nan, -7219.226323056146, 0.8473743026568153, 0.3771472777018687
0, 1.8480151060230001, nan, -1605.4536283314405, 0.7461486988705472, 0.5865265373646837
1a, 1.8480151060230001, nan, -2431.6445729538555, 0.8323576078043472, 0.4608854104110197
1b, 1.8480151060230001, nan, -2227.118441090979, 0.8042990167311114, 0.3750183247115048
All, 1.8480151060230001, nan, -7977.512323994367, 0.8313137096622757, 0.35057187346238144
0, 1.5850129606349999, nan, -1657.5613062089274, 0.7202145948119283, 0.5389295972553255
1a, 1.5850129606349999, nan, -2561.9189200344804, 0.8123158551009888, 0.47561607796855243
1b, 1.5850129606349999, nan, -2255.3378350777466, 0.7812844577873923, 0.40110097509701303
All, 1.5850129606349999, nan, -8544.111368953665, 0.8102420699774127, 0.3261684409337564
0, 1.359011120916, nan, -1833.246618040661, 0.688361071452109, 0.5615810885316902
1a, 1.359011120916, nan, -2652.081055606661, 0.779435311104726, 0.481896650213696
1b, 1.359011120916, nan, -2271.1049228078573, 0.7509991361163968, 0.4317168697143615
All, 1.359011120916, nan, -9677.304997560523, 0.7749928652712986, 0.3196047141905366
0, 1.166009546583, nan, -2044.1644189636525, 0.6548884023895842, 0.5421087664837142
1a, 1.166009546583, nan, -2676.616351531717, 0.7365124522063168, 0.46829227389253736
1b, 1.166009546583, nan, -2329.3007943365787, 0.7236743258620983, 0.4661659680253021
All, 1.166009546583, nan, -10658.746883268692, 0.7277427527034864, 0.3007124355749641
0, 0.9500077922879607, nan, -2160.0976027805045, 0.6077419547110046, 0.53785755874623
1a, 0.9500077922879607, nan, -2842.842751451442, 0.648809146037664, 0.4809370243202732
1b, 0.9500077922879607, nan, -2475.0155986638547, 0.7026864811483788, 0.5171476858508721
All, 0.9500077922879607, nan, -11849.75797623337, 0.6306390778107702, 0.30616794428133776
