Class, Wavelength (microns), Std. Dev. of Model Variance
All, 10.800088679676001, 0.7497368651372879
0, 10.390085363387, 0.49825005508943165
1a, 10.390085363387, 0.6903997820713325
1b, 10.390085363387, 0.8815594408110007
All, 10.390085363387, 0.7545989759261719
0, 10.000081990725999, 0.5131865568446897
1a, 10.000081990725999, 0.6949002231909297
1b, 10.000081990725999, 0.8836175924132328
All, 10.000081990725999, 0.764764999468332
0, 9.810080441738, 0.6811463803864976
1a, 9.810080441738, 0.9842168284791133
1b, 9.810080441738, 1.2534277494611803
All, 9.810080441738, 1.0640862308126704
0, 9.6230790352, 0.6758353771628576
1a, 9.6230790352, 0.9991539146514873
1b, 9.6230790352, 1.26292047537554
All, 9.6230790352, 1.0526639677215996
0, 9.261075991109, 0.6832292749194236
1a, 9.261075991109, 0.9947866643343738
1b, 9.261075991109, 1.240298365969516
All, 9.261075991109, 1.029072057185479
0, 8.912073023522, 0.7046858901475409
1a, 8.912073023522, 0.9960589450819429
1b, 8.912073023522, 1.2348878862298054
All, 8.912073023522, 1.0242620526725466
0, 8.577070248001, 0.7128186257794046
1a, 8.577070248001, 0.9937713503294927
1b, 8.577070248001, 1.2287812176771715
All, 8.577070248001, 1.0230537731971479
0, 7.943065230208999, 0.7182468483555599
1a, 7.943065230208999, 0.9860213205794028
1b, 7.943065230208999, 1.22305585617665
All, 7.943065230208999, 1.0169786237676266
0, 7.356060336523, 0.7338056319211869
1a, 7.356060336523, 0.9926734749188563
1b, 7.356060336523, 1.238686493758368
All, 7.356060336523, 1.0265203634107314
0, 6.8130558615089996, 0.7549990341428228
1a, 6.8130558615089996, 1.0101882747408104
1b, 6.8130558615089996, 1.2722662921375458
All, 6.8130558615089996, 1.0492422461471465
0, 6.3100517506710005, 0.7809996087258408
1a, 6.3100517506710005, 1.0351554241413436
1b, 6.3100517506710005, 1.3125811995468584
All, 6.3100517506710005, 1.0801378057215696
0, 5.843047963294, 0.7504488860611142
1a, 5.843047963294, 1.042607049454489
1b, 5.843047963294, 1.339527612285317
All, 5.843047963294, 1.0922010249173668
0, 5.412044358217, 0.7688384530970248
1a, 5.412044358217, 1.072405180320468
1b, 5.412044358217, 1.380323001626905
All, 5.412044358217, 1.1209348234944239
0, 5.012041121505001, 0.7687668110163188
1a, 5.012041121505001, 1.088575764861411
1b, 5.012041121505001, 1.4107034123740778
All, 5.012041121505001, 1.1477632228544097
0, 4.64203803789, 0.7487092856598966
1a, 4.64203803789, 1.096750914607641
1b, 4.64203803789, 1.4363525012210276
All, 4.64203803789, 1.1651143616804511
0, 4.299035250996, 0.7583164672219813
1a, 4.299035250996, 1.1090279180605545
1b, 4.299035250996, 1.4569230730929132
All, 4.299035250996, 1.1955776362052775
0, 3.981032624573, 0.7635496499401858
1a, 3.981032624573, 1.1185930713686623
1b, 3.981032624573, 1.474483142688828
All, 3.981032624573, 1.224405168200929
0, 3.831031393779, 0.7518007130905308
1a, 3.831031393779, 1.1216524872668745
1b, 3.831031393779, 1.480544996742045
All, 3.831031393779, 1.2261655728140501
0, 3.6870302361790004, 0.7665913497499067
1a, 3.6870302361790004, 1.1225067974645493
1b, 3.6870302361790004, 1.4871706273915646
All, 3.6870302361790004, 1.2490773058081668
0, 3.548029107825, 0.7776905182476708
1a, 3.548029107825, 1.1199950218149568
1b, 3.548029107825, 1.4917907221083648
All, 3.548029107825, 1.2715128594299676
0, 3.4140279835030003, 0.7607815016387592
1a, 3.4140279835030003, 1.118416291227807
1b, 3.4140279835030003, 1.496437591353689
All, 3.4140279835030003, 1.2757742039164395
0, 3.286026924921, 0.7764033419711779
1a, 3.286026924921, 1.1002036167160498
1b, 3.286026924921, 1.4886954769585712
All, 3.286026924921, 1.3057470243194333
0, 3.162025914772, 0.864647814451532
1a, 3.162025914772, 1.048290634476676
1b, 3.162025914772, 1.4641377387735286
All, 3.162025914772, 1.407508857190704
0, 3.043024948458, 0.8732334152090291
1a, 3.043024948458, 1.0199549353341328
1b, 3.043024948458, 1.4433199206788963
All, 3.043024948458, 1.5368496237311133
0, 2.818023111754, 0.8313676227012177
1a, 2.818023111754, 1.0977685477937311
1b, 2.818023111754, 1.4799078897660956
All, 2.818023111754, 1.3884029144854888
0, 2.712022122985, 0.8339077464009805
1a, 2.712022122985, 1.124509760446586
1b, 2.712022122985, 1.4858751868320057
All, 2.712022122985, 1.4002448993014975
0, 2.512020656401, 0.8551095336833022
1a, 2.512020656401, 1.1156154493515953
1b, 2.512020656401, 1.4619702158795203
All, 2.512020656401, 1.4496716376643737
0, 2.15401770693, 0.8793872226616152
1a, 2.15401770693, 1.1033787480144757
1b, 2.15401770693, 1.4048126041519253
All, 2.15401770693, 1.545464078492629
0, 1.8480151060230001, 0.9386340175947058
1a, 1.8480151060230001, 1.095875004842263
1b, 1.8480151060230001, 1.3212817900538032
All, 1.8480151060230001, 1.6789651342362044
0, 1.5850129606349999, 1.0264142208052085
1a, 1.5850129606349999, 1.0561538507952448
1b, 1.5850129606349999, 1.2207948571006342
All, 1.5850129606349999, 1.8155551310851206
0, 1.359011120916, 0.9819114528657482
1a, 1.359011120916, 1.0364197794900358
1b, 1.359011120916, 1.1154565592375782
All, 1.359011120916, 1.8574658622530855
0, 1.166009546583, 1.0227031635040253
1a, 1.166009546583, 1.0590225809250111
1b, 1.166009546583, 1.01172808167277
All, 1.166009546583, 1.9751115940302275
0, 0.9500077922879607, 1.0277710253035186
1a, 0.9500077922879607, 1.0186204967682455
1b, 0.9500077922879607, 0.8805328198276745
All, 0.9500077922879607, 1.9309169453338677
0, 0.8000065592581475, 1.0184848772301769
1a, 0.8000065592581475, 0.9341007026095007
1b, 0.8000065592581475, 0.7749352625207486
All, 0.8000065592581475, 1.7774679921046204
0, 0.6500053359018513, 1.0297807698849575
1a, 0.6500053359018513, 0.8860657603314256
1b, 0.6500053359018513, 0.6746147498564319
All, 0.6500053359018513, 1.7129480774714692
0, 0.20000163981453686, 1.0221834731877226
1a, 0.20000163981453686, 0.6359769284704401
1b, 0.20000163981453686, 0.3306689854385934
All, 0.20000163981453686, 0.8650414475295356
0, 0.10000081990726845, 1.4341803777259226
1a, 0.10000081990726845, 0.7076199151730931
1b, 0.10000081990726845, 0.7400584310169483
All, 0.10000081990726845, 0.9872977683116615
0, 0.9000073791654158, 1.0209439019430064
1a, 0.9000073791654158, 1.0042056500205288
1b, 0.9000073791654158, 0.8441715509141132
All, 0.9000073791654158, 1.8819656229829458
0, 0.8500069635410991, 1.0688029041294824
1a, 0.8500069635410991, 0.9616153819017191
1b, 0.8500069635410991, 0.8111157101604541
All, 0.8500069635410991, 1.8820256071505195
0, 0.4500036895827079, 1.0752184677466055
1a, 0.4500036895827079, 0.7904022207282241
1b, 0.4500036895827079, 0.5262528320145359
All, 0.4500036895827079, 1.4666387731880222
0, 0.15000122986090264, 1.1005213489408905
1a, 0.15000122986090264, 0.6225166614134813
1b, 0.15000122986090264, 0.4177844549451899
All, 0.15000122986090264, 0.8273447273481412
0, 0.5000040995363422, 1.0556032942755107
1a, 0.5000040995363422, 0.8009986507337106
1b, 0.5000040995363422, 0.5676814325827011
All, 0.5000040995363422, 1.5346152558926962
0, 0.5500045067380275, 1.031406745293149
1a, 0.5500045067380275, 0.8235393369411734
1b, 0.5500045067380275, 0.5986387157267877
All, 0.5500045067380275, 1.5643025210688104
0, 2.92902397737, 0.8672654067521626
1a, 2.92902397737, 1.0184229939204232
1b, 2.92902397737, 1.4377112574862225
All, 2.92902397737, 1.5571233936567495
0, 0.7500061493045131, 1.044486777806164
1a, 0.7500061493045131, 0.9135068800263926
1b, 0.7500061493045131, 0.7375536900513852
All, 0.7500061493045131, 1.771128211772994
0, 0.350002868507946, 1.139796543550402
1a, 0.350002868507946, 0.7803699920195892
1b, 0.350002868507946, 0.4483758160131971
All, 0.350002868507946, 1.3045908359632945
0, 0.3000024597218053, 1.106105269186813
1a, 0.3000024597218053, 0.7506613285565814
1b, 0.3000024597218053, 0.41154321819764544
All, 0.3000024597218053, 1.1227452344350193
0, 0.6000049194436106, 1.0143948918673873
1a, 0.6000049194436106, 0.8559262694842978
1b, 0.6000049194436106, 0.636596900928973
All, 0.6000049194436106, 1.5880047670731543
0, 0.2500020497681711, 1.0780605485541348
1a, 0.2500020497681711, 0.6785392964908716
1b, 0.2500020497681711, 0.35809541443757453
All, 0.2500020497681711, 1.0026728397991282
0, 1.000008199072, 1.0702652912310873
1a, 1.000008199072, 1.0306087639113246
1b, 1.000008199072, 0.911781225958105
All, 1.000008199072, 1.9852818074153264
0, 0.4000032796290737, 1.080150585797012
1a, 0.4000032796290737, 0.7845703107231895
1b, 0.4000032796290737, 0.48904747271818955
All, 0.4000032796290737, 1.3609488965863266
0, 0.700005737015892, 1.0306810487943017
1a, 0.700005737015892, 0.931447553768683
1b, 0.700005737015892, 0.7103329681702601
All, 0.700005737015892, 1.7894726339419642
0, 0.050000409953634216, 1.4416770629651285
1a, 0.050000409953634216, 0.8587725108266151
1b, 0.050000409953634216, 0.4487160212900148
All, 0.050000409953634216, 1.3438417072100564
0, All, 4.299763748936316
1a, All, 3.5429704097847066
1b, All, 3.4511137791778803
All, All, 4.003198234050018
